Recording timestamp,Pupil diameter left,Pupil diameter right
20188,3.85,3.79
20208,3.86,3.80
20228,3.86,3.80
20248,3.86,3.80
20268,3.87,3.81
20288,3.87,3.82
20308,3.88,3.83
20328,3.91,3.84
20348,3.99,3.85
20368,4.02,3.87
20388,4.03,3.91
20408,4.03,3.93
20428,4.02,3.92
20448,4.00,3.90
20468,3.98,3.88
20488,3.96,3.86
20508,3.94,3.84
20528,3.91,3.82
20548,3.88,3.79
20568,3.85,3.76
20588,3.81,3.72
20608,3.77,3.68
20628,3.73,3.64
20648,3.68,3.60
20668,3.64,3.56
20688,3.60,3.53
20708,3.56,3.50
20728,3.53,3.47
20748,3.50,3.45
20768,3.48,3.43
20788,3.46,3.41
20808,3.44,3.39
20828,3.43,3.38
20848,3.42,3.37
20868,3.42,3.36
20888,3.17,3.31
20908,,
20928,,
20948,,2.63
20968,,3.11
20988,3.09,3.24
21008,3.15,3.28
21028,3.25,3.32
21048,3.29,3.33
21068,3.31,3.31
21088,3.32,3.29
21108,3.32,3.29
21128,3.31,3.28
21148,3.31,3.28
21168,3.32,3.28
21188,3.32,3.28
21208,3.32,3.28
21227,3.32,3.28
21247,3.33,3.28
21267,3.33,3.29
21288,3.33,3.29
21307,3.34,3.30
21327,3.35,3.30
21347,3.36,3.31
21367,3.37,3.32
21387,3.38,3.32
21407,3.39,3.33
21427,3.39,3.33
21447,3.39,3.34
21467,3.39,3.34
21487,3.38,3.34
21507,3.38,3.35
21527,,3.11
21547,,
21567,,
21587,,2.90
21607,2.99,2.97
21627,3.16,3.11
21647,3.25,3.25
21667,3.30,3.31
21687,3.28,3.31
21707,3.26,3.30
21727,3.26,3.29
21747,3.26,3.28
21767,3.26,3.28
21787,3.27,3.28
21807,3.28,3.28
21827,3.28,3.28
21847,3.28,3.28
21867,3.28,3.28
21887,3.29,3.28
21907,3.30,3.29
21927,3.31,3.29
21947,3.33,3.30
21967,3.35,3.31
21987,3.36,3.33
22007,3.38,3.34
22027,3.40,3.36
22047,3.42,3.38
