Recording timestamp,Pupil diameter left,Pupil diameter right
108694,5.00,4.89
108714,5.00,4.90
108734,5.00,4.91
108754,5.00,4.91
108774,5.00,4.92
108794,5.00,4.92
108814,5.00,4.92
108834,5.00,4.92
108854,5.01,4.93
108874,5.01,4.93
108894,5.01,4.93
108914,5.00,4.92
108934,5.00,4.92
108954,5.00,4.93
108974,4.99,4.92
108994,4.98,4.93
109014,4.97,4.94
109034,4.96,4.93
109054,4.94,4.92
109074,4.93,4.92
109094,4.92,4.92
109114,4.91,4.91
109134,4.89,4.90
109154,4.88,4.87
109174,4.87,4.85
109194,4.87,4.82
109214,4.86,4.80
109234,4.86,4.79
109254,4.85,4.78
109274,4.85,4.77
109294,4.75,4.73
109314,,
109334,,
109354,,
109374,,
109394,,
109414,,
109434,,4.17
109454,,4.18
109474,4.18,4.33
109494,4.16,4.49
109514,4.25,4.58
109534,4.35,4.66
109554,4.52,4.78
109574,4.59,4.84
109594,4.66,5.10
109614,4.74,5.04
109634,4.79,4.91
109654,4.85,5.00
109674,4.89,5.01
109694,5.08,4.99
109714,5.09,4.96
109734,5.10,4.94
109754,5.06,4.93
109774,5.04,4.92
109794,5.04,4.92
109814,5.05,4.95
109834,5.05,4.96
109854,5.06,4.94
109874,5.09,4.92
109894,5.14,4.93
109914,5.15,4.96
109934,5.15,4.98
109954,5.15,4.99
109974,5.15,5.01
109994,5.16,5.03
110014,5.16,5.04
110034,5.16,5.05
110054,5.16,5.06
110074,5.17,5.08
110094,5.17,5.08
110114,5.17,5.09
110134,5.17,5.09
110154,5.16,5.09
110174,5.16,5.08
110194,5.15,5.07
110214,5.14,5.06
110233,5.13,5.05
110254,5.12,5.02
110273,5.11,5.00
110293,5.09,4.98
110313,5.08,4.96
110333,5.06,4.94
110353,5.04,4.92
110373,5.02,4.90
110393,5.01,4.89
110413,4.99,4.86
110433,4.97,4.85
110453,4.94,4.83
110473,4.93,4.82
110493,4.91,4.81
110513,4.89,4.80
110533,4.88,4.80
110553,4.87,4.79
110573,4.86,4.79
110593,4.85,4.79
110613,4.85,4.79
110633,4.84,4.79
110653,4.84,4.78
110673,4.84,4.78
110693,4.84,4.78
110713,4.85,4.77
110733,4.85,4.76
110753,4.85,4.75
110773,4.86,4.75
110793,4.86,4.76
110813,4.87,4.76
110833,4.89,4.76
110853,4.89,4.76
110873,4.89,4.77
110893,4.89,4.78
110913,4.89,4.77
110933,4.89,4.78
110953,4.90,4.79
110973,4.90,4.79
110993,4.90,4.79
111013,4.91,4.80
111033,4.91,4.80
111053,4.91,4.81
111073,4.91,4.81
111093,4.91,4.81
