Recording timestamp,Pupil diameter left,Pupil diameter right
114932,4.60,4.93
114952,4.60,4.92
114971,4.59,4.91
114991,4.59,4.91
115011,4.58,4.91
115031,4.58,4.91
115051,4.58,4.91
115071,4.59,4.98
115091,4.58,5.00
115111,4.58,5.01
115131,4.58,5.01
115151,4.58,4.99
115171,4.58,4.98
115191,4.57,4.97
115211,4.56,4.96
115231,4.55,4.95
115251,4.55,4.94
115271,4.53,4.92
115291,4.51,4.89
115311,4.48,4.86
115331,4.41,4.82
115351,4.27,4.75
115371,4.21,4.66
115391,4.16,4.63
115411,4.14,4.59
115431,4.11,4.57
115451,4.10,4.53
115471,4.08,4.50
115491,4.07,4.47
115511,4.05,4.46
115531,4.03,4.43
115551,4.01,4.41
115571,3.99,4.38
115591,3.97,4.36
115611,3.96,4.34
115631,3.95,4.33
115651,3.95,4.34
115671,3.94,4.34
115691,3.94,4.34
115711,3.95,4.34
115731,3.95,4.35
115751,3.96,4.36
115771,3.97,4.37
115791,3.98,4.38
115811,3.99,4.39
115831,4.01,4.41
115851,4.02,4.41
115871,4.04,4.42
115891,4.06,4.43
115911,4.07,4.45
115931,4.09,4.47
115951,4.11,4.48
115971,4.13,4.50
115991,4.15,4.52
116011,4.16,4.53
116031,4.18,4.53
116051,4.21,4.54
116071,4.23,4.55
116091,4.25,4.56
116111,4.27,4.56
116131,4.28,4.57
116151,4.30,4.57
116171,4.32,4.58
116191,4.34,4.58
116211,4.35,4.59
116231,4.37,4.61
116251,4.38,4.63
116271,4.40,4.63
116291,4.41,4.64
116311,4.43,4.65
116331,4.45,4.67
116351,4.46,4.69
116371,4.48,4.70
116391,4.49,4.71
116411,4.50,4.72
116431,4.52,4.73
116451,4.53,4.74
116471,4.53,4.75
116491,4.54,4.76
116511,4.55,4.77
116531,4.55,4.78
116551,4.55,4.78
116571,4.56,4.79
116591,4.56,4.80
116611,4.56,4.81
116630,4.56,4.81
116651,4.56,4.82
116670,4.56,4.82
116690,4.56,4.83
116710,4.57,4.84
116730,4.58,4.85
116750,4.58,4.86
116770,4.59,4.87
116790,4.60,4.89
116810,4.61,4.90
116830,4.62,4.91
116850,4.63,4.92
116870,4.63,4.93
116890,4.64,4.94
116910,4.64,4.95
116930,4.65,4.96
116950,4.65,4.96
116970,4.65,4.96
116990,4.65,4.97
117010,4.66,4.95
117030,4.66,4.95
117050,4.67,4.93
117070,4.67,4.94
117090,4.68,4.93
117110,4.68,4.92
117130,4.69,4.92
117150,4.69,4.91
117170,4.69,4.90
117190,4.70,4.88
117210,4.70,4.88
117230,4.70,4.88
117250,4.71,4.89
117270,4.71,4.87
117290,4.71,4.87
117310,4.72,4.88
117330,4.72,4.87
117350,4.72,4.86
117370,4.73,4.87
117390,4.73,4.88
117410,4.74,4.89
117430,4.74,4.88
117450,4.75,4.88
117470,4.75,4.90
117490,4.75,4.90
117510,4.76,4.90
117530,4.76,4.91
117550,4.77,4.92
117570,4.77,4.93
117590,4.78,4.93
117610,4.79,4.94
117630,4.79,4.95
117650,4.80,4.96
117670,4.81,4.96
117690,4.82,4.96
117710,4.83,4.97
117730,4.84,4.97
117750,4.85,4.97
117770,4.85,4.97
117790,4.87,4.98
117810,4.88,4.98
117830,4.89,4.98
117850,4.89,4.98
117870,4.90,4.99
117890,4.91,5.00
117910,4.91,5.01
117930,4.91,5.01
117950,4.91,5.01
117970,4.91,5.01
117990,4.90,5.01
118010,4.89,5.01
118030,4.88,5.00
118050,4.88,4.99
118070,4.86,4.98
118090,4.85,4.97
118110,4.84,4.96
118130,4.83,4.96
118150,4.82,4.95
118170,4.81,4.94
118190,4.80,4.94
118210,4.80,4.93
118230,4.79,4.92
118250,4.79,4.92
118270,4.78,4.92
118290,4.78,4.91
118310,4.78,4.92
118329,4.78,4.92
118349,4.78,4.92
118369,4.78,4.93
118389,4.79,4.93
118409,4.79,4.95
118429,4.79,4.96
118449,4.80,4.97
118469,4.80,4.98
118489,4.81,4.98
118509,4.81,4.98
118529,4.82,4.98
118549,4.82,4.99
118569,4.85,5.00
118589,4.95,5.13
118609,4.83,4.64
118629,4.75,4.45
118649,4.77,4.41
118669,4.86,4.71
118689,4.92,4.90
118709,4.95,5.01
118729,4.97,5.03
118749,5.00,5.10
118769,5.04,5.12
118789,5.05,5.14
118809,5.06,5.13
118829,5.05,5.14
118849,5.07,5.14
118869,5.03,5.14
118889,5.02,5.14
118909,5.00,5.14
118929,4.99,5.14
118949,4.98,5.14
118969,4.98,5.15
118989,4.98,5.15
119009,4.96,5.17
119029,4.97,5.17
119049,4.97,5.17
119069,4.97,5.16
119089,4.96,5.16
119109,4.95,5.17
119129,4.93,5.16
119149,4.91,5.15
119169,4.89,5.13
119189,4.86,5.12
119209,4.82,5.09
119229,4.77,5.06
119249,4.73,5.03
119269,4.68,4.99
119289,4.64,4.95
119309,4.60,4.90
119329,4.56,4.86
119349,4.52,4.81
119369,4.48,4.77
119389,4.45,4.72
119409,4.42,4.68
119429,4.39,4.65
119449,4.37,4.61
119469,4.34,4.59
119489,4.32,4.56
119509,4.30,4.54
119529,4.30,4.53
119549,4.29,4.52
119569,4.29,4.51
119589,4.29,4.52
119609,4.30,4.53
119629,4.31,4.53
119649,4.31,4.54
119669,4.32,4.54
119689,4.33,4.55
119709,4.34,4.56
119729,4.36,4.57
119749,4.38,4.58
119769,4.39,4.60
119789,4.41,4.61
119809,4.43,4.63
119829,4.45,4.65
119849,4.46,4.67
119869,4.49,4.70
119889,4.51,4.72
119909,4.53,4.75
119929,4.55,4.78
119949,4.57,4.80
119969,4.59,4.82
119988,4.61,4.84
120008,4.63,4.87
120028,4.66,4.89
120048,4.68,4.90
120068,4.70,4.92
120088,4.71,4.93
