Recording timestamp,Pupil diameter left,Pupil diameter right
21527,4.26,4.47
21547,4.28,4.49
21567,4.30,4.51
21587,4.31,4.53
21607,4.33,4.56
21627,4.34,4.57
21647,4.36,4.59
21667,4.37,4.60
21687,4.38,4.62
21707,4.40,4.63
21727,4.41,4.65
21747,4.43,4.67
21767,4.44,4.70
21787,4.44,4.72
21807,4.45,4.72
21827,4.45,4.72
21847,4.45,4.72
21867,4.44,4.73
21887,4.43,4.72
21907,4.42,4.71
21927,4.41,4.69
21947,4.39,4.65
21967,4.36,4.61
21987,4.33,4.56
22007,4.30,4.53
22027,4.28,4.51
22047,4.24,4.47
22067,4.22,4.42
22087,4.19,4.38
22107,4.16,4.34
22127,4.13,4.31
22147,,4.28
22167,,4.25
22187,,4.22
22207,,4.20
22227,,4.17
22247,,4.16
22267,,4.14
22287,,4.13
22307,,4.11
22327,,4.10
22347,,4.09
22367,,4.08
22387,,4.07
22407,,4.06
22427,,4.06
22447,,4.05
22467,4.11,4.05
22487,4.16,4.05
22507,4.20,4.06
22527,4.22,4.06
22547,4.24,4.07
22567,4.25,4.08
22587,4.25,4.09
22607,4.25,4.09
22627,4.17,4.11
22647,4.14,4.11
22667,4.13,4.13
22687,4.13,4.14
22707,4.13,4.16
22727,4.12,4.17
22747,4.12,4.19
22767,4.11,4.20
22787,4.10,4.21
22807,4.09,4.22
22827,4.09,4.24
22847,4.10,4.26
22867,4.11,4.27
22887,4.12,4.28
22906,4.14,4.30
22926,4.14,4.30
22946,4.16,4.31
22966,4.16,4.31
22986,4.17,4.32
23006,4.16,4.32
23026,4.17,4.32
23046,4.17,4.32
23066,4.18,4.33
23086,4.18,4.33
23106,4.18,4.33
23126,4.18,4.33
23146,4.19,4.33
23166,4.19,4.34
23186,4.19,4.34
23206,4.20,4.35
23226,4.21,4.39
23246,4.21,4.37
23266,4.22,4.38
23286,4.23,4.38
23306,4.23,4.40
23326,4.23,4.40
23346,4.23,4.41
23366,4.23,4.42
23386,4.24,4.41
23406,4.23,4.41
23426,4.24,4.41
23446,4.24,4.41
23466,4.25,4.41
23486,4.24,4.41
23506,4.23,4.42
23526,4.23,4.42
23546,4.23,4.43
23566,4.24,4.44
23586,4.14,4.38
23606,4.24,4.33
23626,4.28,4.29
23646,4.28,4.28
23666,4.29,4.27
23686,4.29,4.27
23706,4.30,4.28
23726,4.32,4.28
23746,4.33,4.29
23766,4.34,4.30
23786,4.35,4.30
23806,4.36,4.31
23826,4.35,4.33
23846,4.40,4.47
23866,4.46,4.49
23886,4.48,4.51
23906,4.48,4.51
23926,4.48,4.52
23946,4.48,4.52
23966,4.48,4.52
23986,4.47,4.52
24006,4.47,4.52
24026,4.47,4.52
24046,4.47,4.52
24066,4.46,4.52
24086,4.46,4.52
