Recording timestamp,Pupil diameter left,Pupil diameter right
154986,3.94,3.87
155006,3.93,3.87
155026,3.92,3.86
155046,3.92,3.86
155066,3.91,3.85
155086,3.91,3.84
155106,3.90,3.84
155126,3.89,3.83
155146,3.88,3.82
155166,3.94,3.77
155186,3.93,3.74
155206,3.90,3.71
155226,3.87,3.69
155246,3.85,3.67
155266,3.82,3.66
155286,3.80,3.64
155306,3.78,3.63
155326,3.76,3.62
155346,3.74,3.61
155366,3.70,3.59
155386,3.67,3.57
155406,3.65,3.55
155426,3.63,3.53
155446,3.61,3.51
155466,3.60,3.50
155486,3.59,3.49
155506,3.57,3.48
155526,3.57,3.47
155546,3.56,3.46
155566,3.56,3.46
155586,3.56,3.46
155606,3.57,3.46
155626,3.57,3.47
155646,3.58,3.48
155666,3.59,3.49
155686,3.59,3.49
155706,3.60,3.50
155726,3.61,3.50
155746,3.62,3.51
155766,3.62,3.51
155786,3.62,3.52
155806,3.62,3.52
155826,3.62,3.50
155846,3.61,3.49
155866,3.60,3.48
155886,3.59,3.48
155906,3.57,3.47
155926,3.57,3.47
155946,3.56,3.47
155966,3.56,3.47
155986,3.55,3.46
156006,3.54,3.46
156026,3.53,3.45
156046,3.52,3.45
156066,3.51,3.44
156086,3.50,3.43
156106,3.49,3.42
156126,3.48,3.41
156146,3.47,3.40
156166,3.46,3.39
156186,3.46,3.38
156206,3.45,3.38
156226,3.45,3.37
156246,3.44,3.36
156266,3.43,3.36
156286,3.30,3.31
156306,,4.45
156326,,
156346,,
156366,,
156386,,
156406,,
156426,3.04,4.19
156446,3.12,3.58
156465,3.14,3.36
156485,3.22,3.29
156505,3.28,3.30
156525,3.32,3.34
156545,3.36,3.36
156565,3.39,3.37
156585,3.41,3.37
156605,3.43,3.38
156625,3.43,3.38
156645,3.44,3.38
156665,3.46,3.38
156685,3.47,3.39
156705,3.49,3.40
156725,3.49,3.41
156745,3.51,3.41
156765,3.52,3.42
156785,3.53,3.43
156805,3.55,3.44
156825,3.58,3.46
156845,3.60,3.47
156865,3.62,3.48
156885,3.63,3.50
156905,3.64,3.50
156925,3.65,3.50
156945,3.64,3.50
156965,3.64,3.50
156985,3.65,3.50
157005,3.65,3.49
157025,3.64,3.49
157045,3.63,3.48
157065,3.61,3.47
157085,3.61,3.47
157105,3.60,3.46
157125,3.59,3.46
157145,3.59,3.46
157165,3.58,3.45
157185,3.58,3.45
157205,3.59,3.45
157225,3.59,3.45
157245,3.59,3.45
157265,3.59,3.45
157285,3.60,3.45
157305,3.60,3.45
157325,3.61,3.45
157345,3.61,3.45
157365,3.62,3.46
157385,3.62,3.46
157405,3.63,3.46
157425,3.64,3.47
157445,3.64,3.47
157465,3.64,3.48
157485,3.65,3.48
157505,3.66,3.49
157525,3.66,3.50
157545,3.66,3.50
157565,3.67,3.50
157585,3.67,3.51
157605,3.67,3.51
157625,3.68,3.51
157645,3.68,3.51
157665,3.68,3.51
157685,3.68,3.52
157705,3.68,3.52
157725,3.69,3.52
157745,3.69,3.52
157765,3.69,3.52
157785,3.70,3.53
157805,3.70,3.53
157825,3.70,3.54
157845,3.70,3.54
157865,3.71,3.55
157885,3.71,3.56
157905,3.72,3.56
157925,3.72,3.57
157945,3.72,3.57
157965,3.73,3.57
157985,3.73,3.57
158005,3.73,3.57
158025,3.73,3.58
158045,3.73,3.58
158065,3.73,3.57
158085,3.73,3.57
158105,3.73,3.57
158124,3.73,3.57
158144,3.73,3.57
158164,3.73,3.57
158184,3.73,3.57
158204,3.73,3.58
158224,3.73,3.58
158244,3.73,3.58
158264,3.73,3.58
158284,3.74,3.58
158304,3.74,3.59
158324,3.74,3.58
158344,3.74,3.59
158364,3.74,3.59
158384,3.74,3.59
158404,3.73,3.59
158424,3.73,3.59
158444,3.73,3.58
158464,3.72,3.58
158484,3.72,3.58
158504,3.72,3.58
158524,3.72,3.59
158544,3.72,3.59
158564,3.72,3.59
158584,3.72,3.59
158604,3.72,3.59
158624,3.73,3.59
158644,3.72,3.59
158664,3.73,3.60
158684,3.72,3.60
158704,3.72,3.61
158724,,3.26
158744,,
158764,,
158784,,
158804,,
158824,,
158844,,
158864,,
158884,,2.99
158904,3.24,3.04
158924,3.28,3.06
158944,3.37,3.14
158964,3.45,3.24
158984,3.51,3.32
159004,3.54,3.39
159024,3.58,3.46
159044,3.61,3.50
159064,3.63,3.53
159084,3.64,3.55
159104,3.64,3.56
159124,3.65,3.56
