Recording timestamp,Pupil diameter left,Pupil diameter right
8115,,3.86
8135,,3.86
8155,,3.80
8175,,3.75
8195,,3.69
8215,,
8235,,
8255,,3.39
8275,,
8295,,
8315,,
8335,,
8355,,3.60
8375,,
8395,,
8415,,
8435,,
8455,,
8475,,
8495,,
8515,,
8535,,
8555,,
8575,,
8595,,
8615,,
8635,,
8655,,
8675,,
8695,,
8715,,
8735,,
8755,,
8775,,
8795,,
8815,,
8835,,
8855,,
8875,,
8895,,
8915,3.37,
8935,3.19,
8955,3.13,
8975,,
8995,,
9015,3.11,
9035,3.10,
9055,3.11,
9075,3.12,
9095,3.13,
9115,3.15,
9135,3.18,
9155,3.19,
9175,3.20,
9195,3.20,
9215,3.21,
9235,3.21,
9255,3.21,
9275,3.22,
9295,3.23,
9314,3.24,
9334,3.25,
9354,3.27,
9374,3.22,
9394,,
9414,,
9434,,
9454,,
9474,,
9494,,
9514,,
9534,,
9554,,
9574,,
9594,,
9614,,
9634,,
9654,,
9674,,
9694,,
9714,,
9734,,
9754,,
9774,3.29,
9794,3.32,
9814,3.34,
9834,3.37,
9854,3.38,
9874,3.38,
9894,3.41,
9914,3.43,3.29
9934,3.46,3.25
9954,3.49,3.26
9974,3.52,3.26
9994,3.53,3.25
10014,3.56,3.24
10034,,3.26
10054,,3.29
10074,,3.29
10094,,3.30
10114,,3.29
10134,,3.29
10154,,3.30
10174,,3.32
10194,,3.28
10214,,3.28
10234,3.52,3.28
10254,3.50,3.27
10274,3.49,3.26
10294,3.48,3.26
10314,3.47,3.25
10334,3.45,3.24
10354,3.45,3.22
10374,3.44,3.20
10394,3.40,3.20
10414,3.39,3.18
10434,3.38,3.16
10454,3.36,3.15
10474,3.34,3.15
10494,3.32,3.14
10514,3.30,3.13
10534,3.29,3.13
10554,3.27,3.12
10574,3.25,3.13
10594,3.23,3.13
10614,3.21,3.13
10634,3.20,
10654,3.19,3.12
10674,3.18,3.11
10694,3.17,3.10
10714,3.18,3.08
10734,3.17,3.07
10754,3.16,3.06
10774,3.15,3.05
10794,3.15,3.03
10814,3.14,3.02
10834,3.14,3.00
10854,3.13,2.98
10874,3.13,2.97
10894,3.12,2.97
10914,3.11,2.96
10934,3.10,2.95
10954,3.10,2.95
10974,3.10,2.95
10994,3.09,2.95
11013,3.09,2.95
11033,3.08,2.98
11053,3.08,2.98
11073,3.07,2.98
11093,3.07,2.98
11113,3.06,2.98
11133,3.05,2.98
11153,3.06,2.99
11173,3.06,2.99
11193,3.06,2.99
11213,3.06,2.98
11233,3.08,2.97
11253,3.08,2.96
11273,3.08,2.95
11293,3.09,2.95
11313,3.09,2.96
11333,3.10,2.95
11353,3.11,2.95
11373,3.12,2.94
11393,3.12,2.94
11413,3.13,2.94
11433,3.14,2.95
11453,3.14,2.95
11473,3.15,2.96
11493,3.16,2.97
11513,3.16,2.97
11533,3.17,2.98
11553,3.17,2.99
11573,3.17,3.00
11593,3.17,3.00
11613,3.17,3.01
11633,3.18,3.01
11653,3.18,3.02
11673,3.18,3.02
11693,3.19,3.03
11713,3.19,3.03
11733,3.19,3.04
11753,3.19,3.05
11773,3.20,3.06
11793,3.20,3.07
11813,3.20,3.08
11833,3.20,3.08
11853,3.20,3.09
11873,3.21,3.10
11893,3.21,3.11
11913,3.24,3.12
11933,3.25,3.13
11953,3.26,3.14
11973,3.27,3.15
11993,3.28,3.16
12013,3.30,3.17
12033,3.31,3.19
12053,3.33,3.20
12073,3.34,3.20
12093,3.35,3.20
12113,3.35,3.21
12133,3.35,3.21
12153,3.35,3.21
12173,3.36,3.21
12193,3.36,3.21
12213,3.36,3.22
12233,3.36,3.22
12253,3.36,3.23
12273,3.37,3.24
12293,3.37,3.24
12313,3.38,3.24
12333,3.38,3.24
12353,3.39,
12373,3.39,3.24
12393,3.40,3.25
12413,3.41,3.26
12433,3.42,3.27
12453,3.43,3.27
12473,3.44,3.28
12493,3.44,3.30
12513,3.45,3.32
12533,3.47,3.34
12553,3.48,3.36
12573,3.50,3.37
12593,3.51,3.39
12613,3.53,3.41
12633,3.54,3.42
12653,3.56,3.44
12672,3.57,3.44
12693,3.58,3.45
12712,3.59,3.46
12732,3.60,
12752,3.61,
12772,3.61,
12792,3.61,3.49
12812,3.60,3.48
12832,3.59,
12852,3.59,3.48
12872,3.58,
12892,3.57,3.49
12912,3.56,3.48
12932,3.55,3.47
12952,3.54,3.46
12972,3.53,3.45
12992,3.52,3.44
13012,3.50,3.43
13032,3.50,3.42
13052,3.48,3.40
13072,,
13092,,
13112,,
13132,,
13152,,
13172,3.35,
13192,3.31,
13212,3.32,
13232,3.34,
13252,3.32,
13272,3.32,
13292,3.34,
13312,3.36,
13332,3.37,3.44
13352,3.37,3.43
13372,3.39,3.44
13392,3.40,3.45
13412,3.42,3.45
13432,3.43,3.47
13452,3.44,3.48
13472,3.46,3.48
13492,3.48,3.49
13512,3.50,3.49
13532,3.52,3.50
13552,3.54,3.49
13572,3.57,3.49
13592,3.59,3.50
13612,3.62,3.51
13632,3.64,3.52
13652,3.65,3.53
13672,3.66,3.54
13692,3.64,3.58
13712,3.63,3.60
13732,3.63,3.58
13752,3.63,3.58
13772,3.62,3.60
13792,3.62,3.62
13812,3.62,3.63
13832,3.61,3.63
13852,3.61,3.63
13872,3.60,3.63
13892,3.60,3.63
13912,3.59,3.63
13932,3.58,3.62
13952,3.57,3.62
13972,3.56,3.61
13992,3.55,3.58
14012,3.52,3.57
14032,3.50,3.55
14052,3.48,3.54
14072,3.47,3.53
14092,3.45,3.51
14112,3.43,3.49
14132,3.42,3.47
14152,3.41,3.45
14172,3.40,3.44
14192,3.39,3.43
14212,3.38,3.42
14232,3.37,3.41
14252,3.36,3.40
14272,3.36,3.39
14292,3.35,3.38
14312,3.35,3.38
14332,3.34,3.37
14352,3.34,3.37
14371,3.33,3.35
14391,3.33,3.34
14411,3.32,3.32
14431,3.31,3.31
14451,3.29,3.29
14471,3.28,3.27
14491,3.25,3.26
14511,3.23,3.24
14531,3.21,3.23
14551,3.19,3.21
14571,3.17,3.19
14591,3.15,3.18
14611,3.14,3.17
14631,3.13,3.16
14651,3.12,3.15
14671,3.11,3.14
14691,3.11,3.14
14711,3.10,3.13
14731,3.10,3.13
14751,3.10,3.12
14771,3.10,3.11
14791,3.10,3.10
14811,3.09,3.09
14831,3.09,3.08
14851,3.09,3.08
14871,3.09,3.07
14891,3.08,3.07
14911,3.08,3.06
14931,3.07,3.06
14951,3.07,3.05
14971,3.07,3.05
14991,3.07,3.06
15011,3.07,3.06
15031,3.08,3.06
15051,3.08,3.06
15071,3.08,3.06
15091,3.09,3.06
15111,3.09,3.06
15131,3.09,3.06
15151,3.10,3.06
15171,3.10,3.06
15191,3.10,3.06
15211,3.09,3.05
15231,3.09,3.05
15251,3.09,3.05
15271,3.09,3.05
15291,3.10,3.05
15311,3.10,3.06
15331,3.10,3.06
15351,3.11,3.07
15371,3.12,3.08
15391,3.13,3.08
15411,3.13,3.10
15431,3.14,3.11
15451,3.14,3.11
15471,3.14,3.12
15491,3.14,3.13
15511,3.14,3.13
15531,3.14,3.14
15551,3.14,3.14
15571,3.14,3.14
15591,3.14,3.15
15611,3.14,3.15
15631,3.14,3.16
15651,3.15,3.17
15671,3.16,3.18
15691,3.18,3.19
15711,3.19,3.18
15731,3.19,3.19
15751,3.19,3.19
15771,3.19,3.19
15791,3.19,3.19
15811,3.19,3.20
15831,3.19,3.19
15851,3.19,3.19
15871,3.19,3.19
15891,3.19,3.19
15911,3.19,3.18
15931,3.19,3.20
15951,3.19,3.20
15971,3.20,3.21
15991,3.20,3.22
16011,3.21,3.22
16031,3.22,3.23
16051,3.23,3.23
16070,3.24,3.23
16090,3.25,3.23
16110,3.25,3.23
16130,3.26,3.24
16150,3.26,3.23
16170,3.26,3.23
16190,3.26,3.23
16210,3.25,3.22
16230,3.25,3.22
16250,3.24,3.22
16270,3.22,3.21
16290,3.22,3.21
16310,3.22,3.20
16330,3.22,3.20
16350,3.22,3.20
16370,3.22,3.22
16390,,3.02
16410,,
16430,,
16450,,
16470,,
16490,2.87,
16510,2.97,3.17
16530,3.11,3.28
16550,3.19,3.32
16570,3.26,3.35
16590,3.28,3.36
16610,3.30,3.36
16630,3.33,3.36
16650,3.35,3.35
16670,3.37,3.36
16690,3.38,3.36
16710,3.39,3.36
16730,3.40,3.36
16750,3.41,3.37
16770,3.43,3.39
16790,3.45,3.40
16810,3.46,3.41
16830,3.48,3.41
16850,3.49,3.42
16870,3.51,3.43
16890,3.53,3.44
16910,3.54,3.45
16930,3.55,3.47
16950,3.56,3.48
16970,3.57,3.49
16990,3.58,3.51
17010,3.58,3.52
17030,3.59,3.54
17050,3.60,3.55
17070,3.61,3.56
17090,3.62,3.59
17110,3.62,3.61
17130,3.63,3.61
17150,3.63,3.62
17170,3.64,3.63
17190,3.64,3.64
17210,3.65,3.65
17230,3.65,3.66
17250,3.65,3.66
17270,3.65,3.67
17290,3.66,3.67
17310,3.66,3.67
17330,3.66,3.68
17350,3.66,3.67
17370,3.65,3.67
17390,3.64,3.66
17410,3.63,3.65
17430,3.62,3.64
17450,3.61,3.63
17470,3.60,3.62
17490,3.58,3.61
17510,3.56,3.60
17530,3.54,3.58
17550,3.52,3.57
17570,3.51,3.55
17590,3.49,3.53
17610,3.48,3.52
17630,3.46,3.51
17650,3.46,3.50
17670,3.46,3.50
17690,3.46,3.50
17710,3.46,3.50
17729,3.46,3.50
17750,3.46,3.50
17769,3.46,3.50
17789,3.47,3.51
17809,3.48,3.51
17829,3.49,3.52
17849,3.50,3.52
17869,3.51,3.54
17889,3.52,3.55
17909,3.53,3.55
17929,3.53,3.57
17949,3.54,3.60
17969,3.55,3.60
17989,3.56,3.60
18009,3.57,3.62
18029,3.58,3.63
18049,3.59,3.65
18069,3.61,3.66
18089,3.62,
18109,3.63,3.68
18129,3.65,3.69
18149,3.66,3.70
18169,3.66,3.71
18189,3.66,3.71
18209,3.66,3.71
18229,3.66,3.72
18249,3.66,
18269,3.66,3.71
18289,3.66,3.71
18309,3.66,3.69
18329,3.65,3.66
18349,3.64,3.63
18369,3.63,3.61
18389,3.61,3.59
18409,3.56,3.57
18429,3.50,3.49
18449,3.47,3.44
18469,3.45,
18489,3.43,3.45
18509,3.41,3.43
18529,3.39,3.39
18549,3.38,3.37
18569,3.36,3.34
18589,3.34,3.32
18609,3.31,3.30
18629,3.28,3.26
18649,3.26,3.24
18669,3.25,3.22
18689,3.24,3.21
18709,3.22,3.20
18729,3.20,3.19
18749,3.19,3.18
18769,3.18,3.17
18789,3.18,3.15
18809,3.17,3.15
18829,3.17,3.15
18849,3.16,3.12
18869,3.16,3.11
18889,3.15,3.11
18909,3.15,3.10
18929,3.15,3.10
18949,3.15,3.10
18969,3.15,3.10
18989,3.15,3.10
19009,3.15,3.10
19029,3.16,3.10
19049,3.16,3.09
19069,3.16,3.09
19089,3.16,3.09
19109,3.17,3.07
19129,3.17,3.07
19149,3.17,3.06
19169,3.17,3.06
19189,3.17,3.05
19209,3.17,3.05
19229,3.17,3.05
19249,3.17,3.04
19269,3.16,3.04
19289,3.16,3.04
19309,3.16,3.04
19329,3.15,3.04
19349,3.15,3.04
19369,3.15,3.04
19389,3.15,3.05
19409,3.15,3.06
19428,3.15,3.05
19448,3.15,3.05
19468,3.14,3.05
19488,3.14,3.04
19508,3.14,3.04
19528,3.13,3.04
19548,3.13,3.03
19568,3.12,3.03
19588,3.12,3.03
19608,3.11,3.03
19628,3.11,3.03
19648,3.11,3.03
19668,3.11,3.03
19688,3.11,3.03
19708,3.12,3.03
19728,3.12,3.04
19748,3.12,3.04
19768,3.13,3.04
19788,3.13,3.04
19808,3.14,3.05
19828,3.14,3.05
19848,3.14,3.05
19868,3.15,3.05
19888,3.15,3.04
19908,3.15,3.04
19928,3.15,3.05
19948,3.15,3.05
19968,3.15,3.05
19988,3.15,3.05
20008,3.15,3.06
20028,3.15,3.06
20048,3.15,3.06
20068,3.15,3.07
20088,3.15,3.07
20108,3.15,3.07
20128,3.14,3.06
20148,3.14,3.06
20168,3.14,3.05
20188,3.14,3.04
20208,3.13,3.03
20228,3.12,3.03
20248,3.12,3.02
20268,3.11,3.01
20288,3.10,3.01
20308,3.10,3.00
20328,3.09,2.99
20348,3.09,2.99
20368,3.09,2.98
20388,3.08,2.98
20408,3.08,2.98
20428,3.08,2.99
20448,2.86,2.83
20468,,
20488,,
20508,,
20528,,3.98
20548,,3.02
20568,2.76,2.91
20588,2.79,2.97
20608,2.87,2.95
20628,2.93,2.97
20648,2.99,3.04
20668,3.03,3.05
20688,3.06,3.06
20708,3.08,3.06
20728,3.09,3.06
20748,3.09,3.05
20768,3.10,3.06
20788,3.11,3.05
20808,3.13,3.06
20828,3.14,3.06
20848,3.15,3.06
20868,3.17,3.08
20888,3.18,3.10
20908,3.21,3.11
20928,3.23,3.13
20948,3.26,3.14
20968,3.27,3.15
20988,3.27,3.15
21008,3.27,3.16
21028,3.26,3.17
21048,3.27,3.18
21068,3.28,3.20
21088,3.29,3.21
21108,3.30,3.23
21127,3.31,3.26
21147,3.33,3.29
21167,3.35,3.31
21187,3.36,3.31
21207,3.38,3.29
21227,3.39,3.29
21247,3.41,3.29
21267,3.41,3.29
21287,3.41,3.28
21307,3.40,3.28
21327,3.40,3.28
21347,3.40,3.28
21367,3.39,3.28
21387,3.39,3.28
21407,3.38,3.28
21427,3.35,3.26
21447,3.32,3.24
21467,3.30,3.22
21487,3.29,3.21
21507,3.29,3.20
21527,3.28,3.19
21547,3.26,3.18
21567,3.25,3.18
21587,3.23,3.17
21607,3.22,3.16
21627,3.18,3.13
21647,3.16,3.12
21667,3.14,3.11
21687,3.13,3.08
21707,3.11,3.07
21727,3.10,3.06
21747,3.09,3.06
21767,3.08,3.05
21787,3.07,3.05
21807,3.07,3.04
21827,3.05,3.03
21847,3.04,3.02
21867,3.03,3.02
21887,3.03,3.00
21907,3.03,3.01
21927,3.03,3.01
21947,3.03,3.01
21967,3.04,3.01
21987,3.04,3.01
22007,3.06,3.02
22027,3.08,3.03
22047,3.09,3.05
22067,3.10,3.06
22087,3.10,3.08
22107,3.11,3.09
22127,3.12,3.10
22147,3.13,3.11
22167,3.14,3.12
22187,3.15,3.13
22207,3.17,3.14
22227,3.18,3.15
22247,3.20,3.16
22267,3.21,3.18
22287,3.23,3.20
22307,3.24,3.22
22327,3.25,3.23
22347,3.26,3.23
22367,3.26,3.23
22387,3.26,3.23
22407,3.26,3.23
22427,3.25,3.22
22447,3.24,3.20
22467,3.22,3.18
22487,3.21,3.16
22507,3.18,3.13
22527,3.16,3.10
22547,3.14,3.07
22567,3.12,3.04
22587,3.09,3.02
22607,3.07,3.01
22627,3.07,2.99
22647,3.06,2.98
22667,3.06,2.98
22687,3.05,2.97
22707,3.04,2.97
22727,3.04,2.93
22747,3.04,2.92
22767,3.03,2.92
22787,3.02,2.91
22807,3.01,2.90
22826,2.99,2.89
22846,2.99,2.87
22866,2.98,2.86
22886,2.97,2.85
22906,2.96,2.83
22926,2.94,2.82
22946,2.93,2.81
22966,2.92,2.80
22986,2.92,2.80
23006,2.92,2.79
23026,2.92,2.80
23046,2.92,2.80
23066,2.91,2.81
23086,2.92,2.81
23106,2.92,2.82
23126,2.92,2.83
23146,2.93,2.83
23166,2.93,2.84
23186,2.93,2.84
23206,2.93,2.85
23226,2.94,2.85
23246,2.94,2.86
23266,2.95,2.86
23286,2.95,2.87
23306,2.95,2.88
23326,2.96,2.89
23346,2.98,2.90
23366,2.99,2.91
23386,3.00,2.93
23406,3.01,2.94
23426,3.02,2.95
23446,3.03,2.96
23466,3.04,2.97
23486,3.05,2.97
23506,3.06,2.98
23526,3.07,2.98
23546,3.07,2.99
23566,3.07,2.99
23586,3.08,2.99
23606,3.08,2.99
23626,3.08,3.00
23646,3.08,3.00
23666,3.08,3.00
23686,3.08,3.01
23706,3.08,3.02
23726,3.08,3.03
23746,3.08,3.03
23766,3.08,3.04
23786,3.09,3.05
23806,3.09,3.05
23826,3.09,3.05
23846,3.09,3.05
23866,3.09,3.05
23886,3.10,3.05
23906,3.10,3.05
23926,3.10,3.05
23946,3.10,3.05
23966,3.10,3.06
23986,3.10,3.07
24006,3.09,3.05
24026,3.09,3.05
24046,3.09,3.05
24066,3.09,3.05
24086,3.09,3.05
24106,3.09,3.04
24126,3.09,3.04
24146,3.08,3.04
24166,3.08,3.03
24186,3.08,3.03
24206,3.08,3.03
24226,3.08,3.02
24246,3.07,3.02
24266,3.08,3.02
24286,3.08,3.02
24306,3.08,3.02
24326,2.85,2.96
24346,,
24366,,
24386,,
24406,,
24426,,
24446,,
24466,,
24485,,
24506,,
24525,3.03,
24545,3.10,3.03
24565,3.13,3.09
24585,3.15,3.12
24605,3.18,3.13
24625,3.20,3.19
24645,3.22,3.23
24665,3.24,3.24
24685,3.25,3.24
24705,3.26,3.24
24725,3.27,3.25
24745,3.28,3.25
24765,3.29,3.26
24785,3.31,3.27
24805,3.35,3.27
24825,3.35,3.27
24845,3.37,3.28
24865,3.39,3.29
24885,3.40,3.30
24905,3.41,3.30
24925,3.42,3.31
24945,3.42,3.33
24965,3.43,3.34
24985,3.44,3.36
25005,3.45,3.37
25025,3.45,3.37
25045,3.45,3.38
25065,3.45,3.38
25085,3.45,3.38
25105,3.45,3.38
25125,3.44,3.38
25145,3.44,3.37
25165,3.43,3.36
25185,3.43,3.35
25205,3.42,3.34
25225,3.42,3.34
25245,3.42,3.33
25265,3.41,3.32
25285,3.41,3.31
25305,3.40,3.30
25325,3.40,3.30
25345,3.39,3.30
25365,3.39,3.30
25385,3.39,3.30
25405,3.38,3.30
25425,3.38,3.30
25445,3.38,3.30
25465,3.37,3.31
25485,3.37,3.32
25505,3.36,3.32
25525,3.36,3.33
25545,3.36,3.33
25565,3.35,3.33
25585,3.34,3.33
25605,3.34,3.33
25625,3.34,3.33
25645,3.34,3.33
25665,3.34,3.33
25685,3.34,3.33
25705,3.34,3.33
25725,3.34,3.33
25745,3.34,3.33
25765,3.34,3.34
25785,3.34,3.34
25805,3.34,3.34
25825,3.34,3.34
25845,3.34,3.34
25865,3.34,3.34
25885,3.33,3.33
25905,3.33,3.33
25925,3.33,3.32
25945,3.32,3.31
25965,3.32,3.30
25985,3.31,3.29
26005,3.30,3.29
26025,3.30,3.28
26045,3.29,3.28
26065,3.28,3.27
26085,3.28,3.27
26105,3.27,3.27
26125,3.27,3.26
26145,3.26,3.26
26165,3.25,3.26
26184,3.25,3.26
26204,3.25,3.26
26224,3.24,3.26
26244,3.24,3.26
26264,3.24,3.26
26284,3.24,3.26
26304,3.24,3.26
26324,3.24,3.27
26344,3.24,3.27
26364,3.24,3.26
26384,3.23,3.23
26404,3.23,3.21
26424,3.22,3.20
26444,3.19,3.18
26464,3.17,3.17
26484,3.16,3.15
26504,3.14,3.13
26524,3.13,3.11
26544,3.12,3.08
26564,3.11,3.06
26584,3.10,3.05
26604,3.09,3.03
26624,3.08,3.01
26644,3.07,2.99
26664,3.07,2.98
26684,3.07,2.97
26704,3.06,2.95
26724,3.05,2.94
26744,3.05,2.93
26764,3.04,2.92
26784,3.03,2.90
26804,3.02,2.89
26824,3.01,2.89
26844,3.00,2.88
26864,2.99,2.88
26884,2.97,2.87
26904,2.96,2.87
26924,2.96,2.87
26944,2.95,2.86
26964,2.94,2.85
26984,2.94,2.85
27004,2.93,2.85
27024,2.93,2.85
27044,2.93,2.85
27064,2.93,2.85
27084,2.93,2.86
27104,2.93,2.86
27124,2.93,2.86
27144,2.93,2.87
27164,2.93,2.89
27184,2.94,2.89
27204,2.94,2.90
27224,2.95,2.90
27244,2.96,2.91
27264,2.96,2.91
27284,2.97,2.92
27304,2.98,2.92
27324,2.98,2.93
27344,2.99,2.93
27364,3.00,2.93
27384,3.01,2.94
27404,3.01,2.94
27424,3.01,2.95
27444,3.01,2.95
27464,3.01,2.96
27484,3.01,2.96
27504,3.01,2.97
27524,3.01,2.97
27544,3.00,2.97
27564,3.00,2.97
27584,3.00,2.97
27604,3.00,2.97
27624,3.00,2.97
27644,3.00,2.97
27664,3.00,2.98
27684,3.00,2.99
27704,3.00,3.00
27724,3.00,3.01
27744,3.00,3.01
27764,3.01,3.00
27784,3.01,3.00
27804,3.01,3.00
27824,3.00,2.99
27844,3.00,2.99
27864,3.00,2.99
27883,2.99,2.99
27903,2.99,2.98
27923,2.99,2.98
27943,2.99,2.97
27963,2.98,2.97
27983,2.98,2.97
28003,2.98,2.98
28023,2.98,2.99
28043,2.98,2.99
28063,2.98,2.99
28083,2.98,2.99
28103,2.98,3.00
28123,2.99,3.00
28143,2.99,2.99
28163,2.99,2.99
28183,2.99,2.99
28203,2.99,2.98
28223,2.99,2.98
28243,2.99,2.98
28263,2.99,2.97
28283,3.00,2.97
28303,2.99,2.97
28323,2.99,2.98
28343,2.99,2.97
28363,2.99,2.97
28383,3.00,2.98
28403,3.01,2.99
28423,3.02,2.99
28443,3.02,2.99
28463,3.03,3.00
28483,3.04,3.01
28503,3.05,3.03
28523,3.06,3.04
28543,3.07,3.05
28563,3.09,3.07
28583,3.10,3.09
28603,3.11,3.13
28623,3.12,3.13
28643,3.13,3.14
28663,3.14,3.16
28683,3.15,3.17
28703,3.17,3.18
28723,3.18,3.19
28743,3.19,3.20
28763,3.20,3.21
28783,3.20,3.21
28803,3.21,3.22
28823,3.22,3.22
28843,3.23,3.24
28863,3.14,3.19
28883,,
28903,,
28923,,4.43
28943,,5.44
28963,,
28983,3.14,4.05
29003,3.17,3.55
29023,3.18,3.39
29043,3.20,3.33
29063,3.23,3.32
29083,3.26,3.31
29103,3.29,3.30
29123,3.30,3.30
29143,3.31,3.31
29163,3.32,3.32
29183,3.34,3.32
29203,3.35,3.32
29223,3.36,3.32
29243,3.36,3.32
29263,3.37,3.33
29283,3.38,3.33
29303,3.39,3.33
29323,3.40,3.34
29343,3.41,3.34
29363,3.42,3.35
29383,3.43,3.35
29403,3.44,3.37
29423,3.45,3.38
29443,3.46,3.41
29463,3.47,3.43
29483,3.47,3.44
29503,3.48,3.44
29523,3.48,3.44
29542,3.48,3.45
29562,3.48,3.45
29582,3.48,3.46
29602,3.48,3.45
29622,3.49,3.45
29642,3.49,3.44
29662,3.49,3.42
29682,3.49,3.42
29702,3.49,3.42
29722,3.48,3.41
29742,3.48,3.41
29762,3.47,3.40
29782,3.46,3.40
29802,3.45,3.39
29822,3.43,3.38
29842,3.42,3.37
29862,3.40,3.36
29882,3.38,3.35
29902,3.37,3.34
29922,3.36,3.33
29942,3.35,3.32
29962,3.34,3.31
29982,3.33,3.30
30002,3.31,3.29
30022,3.29,3.27
30042,3.28,3.26
30062,3.26,3.25
30082,3.25,3.24
30102,3.24,3.23
30122,3.22,3.22
30142,3.21,3.21
30162,3.19,3.20
30182,3.18,3.19
30202,3.17,3.18
30222,3.16,3.17
30242,3.15,3.15
30262,3.15,3.14
30282,3.14,3.13
30302,3.14,3.12
30322,3.13,3.11
30342,3.13,3.10
30362,3.12,3.09
30382,3.11,3.08
30402,3.11,3.07
30422,3.10,3.06
30442,3.08,3.05
30462,3.07,3.04
30482,3.05,3.02
30502,3.04,3.00
30522,3.02,2.99
30542,3.00,2.97
30562,2.99,2.95
30582,2.97,2.93
30602,2.96,2.92
30622,2.94,2.90
30642,2.94,2.89
30662,2.93,2.89
30682,2.93,2.88
30702,2.92,2.88
30722,2.92,2.88
30742,2.92,2.87
30762,2.92,2.87
30782,2.92,2.87
30802,2.92,2.87
30822,2.93,2.87
30842,2.93,2.87
30862,2.93,2.87
30882,2.93,2.87
30902,2.93,2.88
30922,2.93,2.88
30942,2.93,2.88
30962,2.94,2.89
30982,2.94,2.89
31002,2.95,2.90
31022,2.96,2.90
31042,2.97,2.91
31062,2.98,2.91
31082,2.99,2.92
31102,3.00,2.92
31122,3.01,2.93
31142,3.03,2.93
31162,3.04,2.94
31182,3.04,2.95
31202,3.04,2.95
31222,3.04,2.96
31241,3.04,2.96
31261,3.04,2.96
31281,3.04,2.97
31301,3.04,2.98
31321,3.05,2.99
31341,3.05,2.99
31361,3.05,3.00
31381,3.06,3.01
31401,3.07,3.02
31421,3.07,3.03
31441,3.07,3.03
31461,3.08,3.04
31481,3.08,3.04
31501,3.09,3.05
31521,3.09,3.05
31541,3.10,3.05
31561,3.10,3.05
31581,3.11,3.05
31601,3.11,3.05
31621,3.12,3.05
31641,3.12,3.06
31661,3.13,3.06
31681,3.14,3.06
31701,3.14,3.07
31721,3.15,3.08
31741,3.15,3.08
31761,3.15,3.09
31781,3.15,3.09
31801,3.15,3.09
31821,3.14,3.09
31841,3.14,3.10
31861,3.14,3.10
31881,3.13,3.10
31901,3.13,3.10
31921,3.12,3.10
31941,3.12,3.10
31961,3.12,3.10
31981,3.12,3.11
32001,3.12,3.11
32021,3.12,3.12
32041,3.13,3.12
32061,3.13,3.13
32081,3.14,3.13
32101,3.15,3.14
32121,3.15,3.14
32141,3.16,3.15
32161,3.17,3.15
32181,3.18,3.15
32201,3.18,3.14
32221,3.18,3.14
32241,3.18,3.14
32261,3.18,3.13
32281,3.18,3.13
32301,3.18,3.13
32321,3.19,3.13
32341,3.19,3.13
32361,3.19,3.13
32381,3.19,3.13
32401,3.19,3.13
32421,3.20,3.14
32441,3.21,3.15
32461,3.22,3.15
32481,3.22,3.16
32501,3.23,3.17
32521,3.24,3.18
32541,3.24,3.19
32561,3.25,3.20
32581,3.26,3.21
32601,3.27,3.21
32621,3.27,3.22
32641,3.28,3.22
32661,3.29,3.22
32681,3.29,3.23
32701,3.29,3.23
32721,3.29,3.21
32741,3.29,3.21
32761,3.29,3.22
32781,3.29,3.21
32801,3.28,3.22
32821,3.28,3.21
32841,3.27,3.21
32861,3.27,3.20
32881,3.27,3.19
32901,3.26,3.18
32921,3.26,3.18
32940,3.25,3.17
