Recording timestamp,Pupil diameter left,Pupil diameter right
1919,,
1939,,
1959,,
1979,,
1999,,
2019,,
2039,,
2059,,
2079,,
2099,,
2119,,
2139,,
2159,,
2179,,
2199,,
2219,,
2239,,
2259,,
2279,,
2299,,
2319,,
2339,,
2359,,
2379,,
2399,,
2419,,
2438,,
2459,,
2478,,
2498,,
2518,,
2538,,
2558,,
2578,,
2598,,
2618,,
2638,,
2658,,
2678,,
2698,,
2718,,
2738,,
2758,,
2778,,
2798,,
2818,,
2838,,
2858,,
2878,,
2898,,
2918,,
2938,,
2958,,
2978,,
2998,,
3018,,
3038,,
3058,,
3078,,
3098,,
3118,,
3138,3.32,
3158,2.98,
3178,3.34,
3198,3.51,
3218,3.74,3.58
3238,3.89,3.76
3258,3.87,3.74
3278,3.84,3.71
3298,3.80,3.70
3318,3.78,3.70
3338,3.78,3.69
3358,3.78,3.71
3378,3.82,
3398,3.81,3.70
3418,3.81,3.70
3438,3.76,3.74
3458,,
3478,3.68,
3498,3.53,
3518,3.59,3.72
3538,3.62,3.64
3558,3.59,
3578,3.54,
3598,3.47,3.55
3618,3.44,3.49
3638,3.41,3.45
3658,3.37,3.43
3678,,3.40
3698,3.30,3.34
3718,3.27,3.32
3738,3.25,
3758,3.24,
3778,3.21,3.37
3798,3.19,3.24
3818,3.17,3.23
3838,3.15,3.20
3858,,3.18
3878,3.12,3.16
3898,3.11,3.14
3918,3.09,3.13
3938,3.06,
3958,3.06,
3978,3.02,
3998,3.03,
4018,3.02,
4038,3.00,
4058,2.99,
4078,2.98,
4097,2.97,
4117,2.97,
4137,2.97,
4157,2.97,
4177,2.96,3.04
4197,2.96,3.01
4217,2.96,3.00
4237,2.95,2.99
4257,2.95,2.98
4277,2.94,
4297,2.93,2.98
4317,2.94,2.89
4337,2.96,2.92
4357,3.06,
4377,3.05,2.95
4397,3.02,5.61
4417,3.00,4.87
4437,3.05,4.60
4457,,4.04
4477,3.12,3.75
4497,3.11,3.67
4517,3.13,3.41
4537,3.13,3.38
4557,3.15,3.27
4577,3.15,3.19
4597,3.16,3.15
4617,,3.15
4637,3.18,3.15
4657,3.21,3.17
4677,3.24,3.16
4697,3.27,3.18
4717,3.30,3.25
4737,3.35,3.29
4757,3.38,3.37
4777,3.41,3.41
4797,3.43,3.36
4817,3.53,3.43
4837,3.51,3.53
4857,3.50,3.58
4877,3.49,3.57
4897,3.50,3.57
4917,3.49,3.62
4937,3.50,3.65
4957,3.51,3.66
4977,3.49,3.68
4997,3.48,3.69
5017,3.48,3.71
5037,3.50,3.69
5057,3.51,3.70
5077,3.53,3.73
5097,3.54,3.73
