Recording timestamp,Pupil diameter left,Pupil diameter right
15091,4.55,4.26
15111,4.56,4.26
15131,4.56,4.26
15151,4.56,4.27
15171,4.55,4.28
15191,4.56,4.28
15211,4.55,4.29
15231,4.55,4.29
15251,4.55,4.29
15271,4.54,4.29
15291,4.54,4.28
15311,4.53,4.27
15331,4.52,4.26
15351,4.50,4.21
15371,4.47,4.17
15391,4.43,4.15
15411,4.40,4.13
15431,4.36,4.11
15451,4.32,4.08
15471,4.28,4.05
15491,4.25,4.03
15511,4.21,3.99
15531,4.17,3.96
15551,4.13,3.93
15571,4.09,3.90
15591,4.06,3.87
15611,4.02,3.84
15631,3.99,3.81
15651,3.96,3.78
15671,3.93,3.76
15691,3.91,3.75
15711,3.89,3.73
15731,3.87,3.71
15751,3.85,3.69
15771,3.83,3.68
15791,3.82,3.66
15811,3.81,3.65
15831,3.79,3.64
15851,3.78,3.62
15871,3.77,3.61
15891,3.76,3.59
15911,3.75,3.58
15931,3.73,3.57
15950,3.73,3.56
15971,3.72,3.55
15990,3.71,3.54
16010,3.70,3.54
16030,3.70,3.53
16050,3.70,3.52
16070,3.69,3.52
16090,3.69,3.52
16110,3.69,3.51
16130,3.69,3.51
16150,3.68,3.50
16170,3.68,3.50
16190,3.68,3.50
16210,3.67,3.50
16230,3.67,3.49
16250,3.67,3.52
16270,3.67,3.52
16290,3.66,3.52
16310,3.67,3.52
16330,3.67,3.53
16350,3.67,3.53
16370,3.67,3.53
16390,3.67,3.54
16410,3.67,3.55
16430,3.68,3.56
16450,3.68,3.56
16470,3.69,3.57
16490,3.69,3.57
16510,3.69,3.57
16530,3.69,3.57
16550,3.69,3.58
16570,3.69,3.58
16590,3.69,3.57
16610,3.69,3.57
16630,3.69,3.56
16650,3.69,3.56
16670,3.69,3.56
16690,3.70,3.55
16710,3.70,3.55
16730,3.70,3.55
16750,3.70,3.55
16770,3.70,3.56
16790,3.71,3.56
16810,3.71,3.56
16830,3.71,3.56
16850,3.72,3.56
16870,3.72,3.56
16890,3.72,3.56
16910,3.72,3.56
16930,3.73,3.56
16950,3.73,3.55
16970,3.73,3.55
16990,3.72,3.54
17010,3.72,3.54
17030,3.72,3.53
17050,3.72,3.53
17070,3.72,3.53
17090,3.72,3.53
17110,3.71,3.53
17130,3.71,3.53
17150,3.71,3.53
17170,3.71,3.52
17190,3.71,3.52
17210,3.71,3.52
17230,3.71,3.53
17250,3.71,3.53
17270,3.71,3.54
17290,3.71,3.54
17310,3.71,3.54
17330,3.71,3.53
17350,3.71,3.53
17370,3.71,3.53
17390,3.71,3.53
17410,3.70,3.53
17430,3.70,3.53
17450,3.69,3.52
17470,3.69,3.51
17490,3.68,3.50
17510,3.67,3.50
17530,3.66,3.49
17550,3.65,3.48
17570,3.64,3.47
17590,3.63,3.46
17610,3.62,3.45
17630,3.61,3.44
17649,3.60,3.42
17669,3.58,3.41
17689,3.57,3.40
17709,3.56,3.38
17729,3.55,3.37
17749,3.54,3.36
17769,3.53,3.35
17789,3.52,3.34
17809,3.51,3.33
17829,3.50,3.32
17849,3.49,3.31
17869,3.48,3.31
17889,3.47,3.30
17909,3.46,3.29
17929,3.45,3.29
17949,3.43,3.28
17969,3.42,3.28
17989,3.41,3.27
18009,3.40,3.26
18029,3.39,3.26
18049,3.38,3.25
18069,3.36,3.24
18089,3.36,3.23
18109,3.35,3.23
18129,3.34,3.21
18149,3.33,3.20
18169,3.32,3.19
18189,3.31,3.18
18209,3.30,3.17
18229,3.30,3.17
18249,3.29,3.16
18269,3.28,3.15
18289,3.27,3.15
18309,3.26,3.14
18329,3.26,3.14
18349,3.25,3.13
18369,3.25,3.12
18389,3.24,3.11
18409,3.24,3.11
18429,3.23,3.10
18449,3.22,3.10
18469,3.22,3.10
18489,3.22,3.10
18509,3.22,3.10
18529,3.21,3.09
18549,3.21,3.09
18569,3.21,3.09
18589,3.22,3.10
18609,3.22,3.10
18629,3.22,3.10
18649,3.23,3.10
18669,3.24,3.11
18689,3.25,3.12
18709,3.26,3.13
18729,3.27,3.14
18749,3.29,3.15
18769,3.30,3.17
18789,3.31,3.18
18809,3.33,3.19
18829,3.34,3.20
18849,3.36,3.21
18869,3.37,3.23
18889,3.38,3.24
18909,3.40,3.25
18929,3.41,3.26
18949,3.42,3.27
18969,3.44,3.28
18989,3.45,3.29
19009,3.47,3.30
19029,3.48,3.31
19049,3.50,3.32
19069,3.51,3.33
