Recording timestamp,Pupil diameter left,Pupil diameter right
3098,3.25,3.43
3118,3.25,3.43
3138,3.25,3.43
3158,3.25,3.44
3178,3.25,
3198,3.25,3.44
3218,3.25,3.44
3238,3.25,3.45
3258,3.26,3.45
3278,3.24,3.39
3298,3.23,3.32
3318,3.24,3.32
3338,3.21,3.28
3358,3.21,3.25
3378,3.19,3.21
3398,3.17,3.18
3418,3.16,3.16
3438,3.15,3.14
3458,3.13,
3478,3.12,
3498,3.00,
3518,2.97,
3538,2.96,
3558,2.95,
3578,2.94,
3598,2.94,
3618,2.94,
3638,2.94,
3658,2.94,3.06
3678,2.93,3.03
3698,2.93,3.01
3718,2.94,
3738,2.94,
3758,2.94,
3778,2.94,
3798,2.94,
3818,2.94,
3838,2.95,3.02
3858,2.95,3.04
3878,2.95,3.06
3898,2.95,
3918,2.94,3.08
3938,2.95,3.10
3958,2.95,
3978,2.96,
3998,2.95,3.09
4018,2.99,3.08
4038,3.00,3.09
4058,2.98,3.11
4078,2.98,3.15
4098,2.99,3.16
4118,3.00,3.17
4138,3.01,3.19
4158,3.02,3.20
4178,3.02,3.20
4197,3.04,3.21
4217,3.04,3.22
4237,3.05,3.24
4257,3.07,3.24
4277,3.08,
4297,3.09,3.24
4317,3.07,
4337,3.12,
4357,3.15,3.22
4377,,
4397,3.17,
4417,3.19,
4437,3.19,
4457,3.18,
4477,3.18,
4497,3.17,
4517,3.17,
4537,3.16,
4557,3.15,
4577,3.15,
4597,3.14,
4617,3.13,
4637,2.93,
4657,,
4677,,
4697,,
4717,2.78,2.91
4737,2.82,
4757,2.90,
4777,2.97,3.15
4797,3.00,3.24
4817,3.01,3.23
4837,3.01,3.23
4857,3.01,3.23
4877,3.01,3.23
4897,3.01,3.23
4917,3.01,3.22
4937,3.02,3.22
4957,3.02,3.22
4977,3.02,3.22
4997,3.02,3.23
5017,3.03,3.24
5037,3.03,3.24
5057,3.03,3.24
5077,3.03,3.23
5097,3.03,3.23
5117,3.03,3.23
5137,3.03,3.23
5157,3.02,3.22
5177,3.01,3.20
5197,3.01,
5217,3.00,
5237,2.99,
5257,2.97,
5277,2.93,3.06
5297,2.90,2.98
5317,2.97,3.01
5337,2.91,3.00
5357,2.94,3.00
5377,2.96,3.00
5397,2.97,3.00
5417,2.96,3.00
5437,2.97,3.00
5457,2.99,3.00
5477,3.00,3.00
5497,2.99,3.00
5517,2.99,3.00
5537,2.99,3.00
5557,2.99,3.00
5577,3.00,3.00
5597,3.00,3.00
5617,3.01,3.00
5637,2.91,2.84
5657,2.83,
5677,2.92,3.03
5697,2.96,3.11
5717,2.98,3.16
5737,2.99,
5757,3.00,
5777,3.01,
5797,3.02,
5817,3.02,3.21
5837,3.03,3.24
5856,3.04,3.25
5876,3.04,3.25
5896,3.05,3.26
5916,3.06,3.27
5936,2.99,3.24
5956,3.08,3.28
5976,3.15,3.30
5996,3.18,3.36
6016,3.19,3.38
6036,3.19,3.41
6056,3.20,3.38
6076,3.20,3.37
6096,3.17,3.35
6116,3.16,3.33
6136,3.15,3.32
6156,3.15,3.35
6176,3.04,3.29
6196,3.05,3.33
6216,3.05,3.31
6236,3.05,3.30
6256,3.05,3.29
6276,3.04,3.31
6296,3.04,3.30
6316,3.04,3.30
6336,3.04,3.30
6356,3.04,3.31
6376,3.04,3.32
6396,3.05,3.32
6416,3.05,3.32
6436,3.05,3.32
6456,3.06,3.32
6476,3.07,3.32
6496,3.08,3.32
6516,3.08,3.32
6536,3.09,3.32
6556,3.09,3.32
6576,3.09,3.31
6596,3.10,3.31
6616,3.10,3.31
6636,,3.31
6656,,3.30
6676,3.10,3.30
6696,3.02,3.24
6716,3.03,3.16
6736,3.06,3.28
6756,3.09,3.33
6776,3.11,3.34
6796,3.12,3.35
6816,3.12,3.36
6836,3.12,3.35
6856,3.12,3.35
6876,3.12,3.35
6896,3.12,
6916,3.12,3.35
6936,3.12,3.35
6956,3.12,3.35
6976,3.12,3.35
6996,3.12,3.34
7016,3.12,3.33
7036,3.12,3.33
7056,3.12,3.32
7076,3.12,3.32
7096,3.12,3.31
7116,3.12,3.31
7136,3.11,3.32
7156,3.12,3.32
7176,3.12,3.33
7196,3.12,3.34
7216,3.12,3.33
7236,3.12,3.34
7256,3.12,3.35
7276,3.12,3.35
7296,3.12,3.35
7316,3.12,3.34
7336,3.12,3.34
7356,3.10,3.35
7376,3.10,3.36
7396,3.09,3.29
7416,3.08,3.26
7436,3.07,3.26
7456,3.06,
7476,3.06,
7496,3.06,3.24
7515,3.06,3.31
7535,3.07,3.31
7555,3.06,3.30
7575,3.06,3.29
7595,3.06,3.28
7615,3.06,3.28
7635,3.06,3.28
7655,3.06,3.29
7675,3.07,3.29
7695,3.07,3.29
7715,3.07,3.30
7735,3.08,3.30
7755,3.09,3.31
7775,3.10,3.32
7795,3.10,3.32
7815,3.10,3.33
7835,3.10,3.33
7855,3.11,3.33
7875,3.11,3.33
7895,3.11,3.34
7915,3.11,3.34
7935,3.12,3.34
7955,3.12,3.34
7975,3.12,3.34
7995,3.12,3.34
8015,3.12,3.34
8035,3.12,3.34
8055,3.12,3.34
8075,3.12,3.34
8095,3.12,3.33
8115,3.12,3.33
8135,3.11,
8155,3.10,
8175,3.10,
8195,3.10,3.32
8215,3.10,3.32
8235,3.10,3.32
8255,3.10,3.31
8275,3.10,3.31
8295,3.09,3.31
8315,3.09,3.31
8335,3.09,3.31
8355,3.09,3.32
8375,3.08,3.32
8395,3.09,3.33
8415,3.09,3.33
8435,3.09,3.33
8455,3.09,3.33
8475,3.09,3.32
8495,3.09,3.32
8515,3.09,3.32
8535,3.09,3.32
8555,3.09,3.31
8575,3.09,3.31
8595,3.09,3.30
8615,3.09,3.30
8635,3.09,3.29
8655,3.08,3.28
8675,3.08,
8695,3.08,
8715,3.08,
8735,3.07,
8755,3.07,
8775,3.07,
8795,3.06,
8815,3.06,
8835,3.06,
8855,3.06,
8875,3.06,
8895,3.06,
8915,3.06,
8935,3.06,
8955,3.06,
8975,3.06,
8995,3.06,
9015,3.06,3.27
9035,3.06,3.28
9055,3.07,
9075,3.07,3.28
9095,3.08,
9115,3.08,
9135,3.08,
9155,3.08,3.28
9174,3.09,3.28
9194,3.09,3.29
9214,3.09,3.28
9234,3.10,3.28
9254,3.10,3.27
9274,3.10,3.28
9294,3.10,3.29
9314,3.10,
9334,3.10,3.26
9354,3.10,3.26
9374,3.10,3.25
9394,3.09,3.25
9414,3.09,3.25
9434,3.09,3.25
9454,3.08,3.24
9474,3.08,3.24
9494,3.07,3.24
9514,3.07,3.23
9534,3.06,3.23
9554,3.06,3.22
9574,3.05,3.22
9594,3.04,3.21
9614,3.04,3.21
9634,3.03,3.20
9654,3.03,
9674,3.02,
9694,3.02,
9714,3.02,
9734,3.02,
9754,3.02,3.20
9774,3.02,3.21
9794,3.03,
9814,3.03,
9834,3.04,
9854,3.04,
9874,3.05,
9894,3.05,3.23
9914,3.05,3.25
9934,3.06,3.26
9954,3.06,3.27
9974,3.08,3.29
9994,3.10,3.30
10014,3.11,3.29
10034,3.12,3.28
10054,3.12,3.28
10074,3.13,3.28
10094,3.13,3.29
10114,3.13,3.29
10134,3.14,3.29
10154,3.14,3.30
10174,3.15,3.30
10194,3.16,3.31
10214,3.16,3.31
10234,3.17,3.31
10254,3.16,3.31
10274,3.16,3.31
10294,3.12,3.30
10314,3.12,3.32
10334,3.13,3.34
10354,3.13,3.35
10374,3.14,3.36
10394,3.14,3.36
10414,3.15,3.37
10434,3.15,3.37
10454,3.15,3.37
10474,3.15,3.37
