Recording timestamp,Pupil diameter left,Pupil diameter right
20228,3.78,3.98
20248,3.76,3.96
20268,3.75,3.95
20288,3.74,3.93
20308,3.72,3.92
20328,3.71,3.90
20348,3.69,3.88
20368,3.67,3.87
20388,3.66,3.85
20408,3.66,3.84
20428,3.63,3.83
20448,3.55,3.53
20468,3.43,3.46
20488,3.47,3.55
20508,3.44,3.55
20528,3.38,3.54
20548,3.34,3.50
20568,3.28,3.44
20588,3.24,3.40
20608,3.21,3.36
20628,3.18,3.34
20648,3.11,3.31
20668,3.07,3.28
20688,3.04,3.26
20708,3.02,3.24
20728,2.98,3.22
20748,2.97,3.17
20768,2.93,3.12
20788,2.91,3.10
20808,2.91,3.09
20828,2.91,3.06
20848,2.91,3.05
20868,2.91,3.04
20888,2.91,3.04
20908,2.91,3.03
20928,2.91,3.03
20948,2.91,3.03
20968,2.91,3.03
20988,2.91,3.03
21008,2.91,3.02
21028,2.91,3.02
21048,2.90,3.02
21068,2.89,3.02
21088,2.89,3.03
21108,2.90,3.03
21128,2.78,2.91
21148,,2.93
21167,2.89,2.94
21187,2.92,2.94
21207,2.93,2.94
21227,3.01,2.94
21247,3.01,2.94
21267,3.00,2.94
21287,3.02,2.94
21307,,2.94
21327,,2.95
21347,3.05,2.95
21367,,2.96
21387,3.07,2.96
21407,3.08,2.98
21427,3.05,3.00
21447,2.92,2.96
21467,2.95,3.05
21487,2.97,3.09
21507,2.98,3.10
21527,2.99,3.10
21547,3.01,3.10
21567,3.02,3.11
21587,3.03,3.11
21607,3.01,2.95
21627,3.02,2.86
21647,3.10,3.00
21667,3.10,3.07
21687,3.12,3.10
21707,3.11,3.11
21727,3.10,3.11
21747,3.14,3.11
21767,3.18,3.12
21787,3.20,3.12
21807,3.22,3.12
21827,3.23,3.13
21847,3.24,3.13
21867,3.27,3.14
21887,3.28,3.15
21907,3.29,3.15
21927,3.28,3.16
21947,3.29,
21967,3.29,
21987,3.30,
22007,3.30,
22027,3.27,3.11
22047,3.20,3.14
22067,3.21,3.27
22087,3.21,3.31
22107,3.21,3.33
22127,3.21,3.32
22147,3.20,3.33
22167,3.20,3.33
22187,3.20,3.33
22207,3.20,3.32
22227,3.20,3.33
22247,3.12,3.30
22267,3.05,3.07
22287,3.02,3.01
22307,,
22327,3.02,3.26
22347,3.09,3.28
22367,3.11,3.29
22387,3.14,3.29
22407,3.12,3.23
22427,3.14,3.15
22447,3.17,3.18
22467,3.20,3.19
22487,3.20,3.20
22507,3.22,3.20
22527,3.10,3.09
22547,3.15,3.16
22567,3.16,3.19
22587,3.16,3.20
22607,3.16,3.21
22627,3.15,3.24
22647,3.16,3.25
22667,3.16,3.26
22687,3.17,3.27
22707,3.18,3.27
22727,3.16,3.29
22747,3.16,3.32
22767,3.15,3.34
22787,3.14,3.36
22807,3.13,3.36
22827,3.13,3.37
22847,3.13,3.38
22866,3.10,3.39
22886,3.10,3.38
22906,3.08,3.15
22926,3.08,3.25
22946,3.08,
22966,3.07,3.40
22986,3.07,
23006,3.07,3.41
23026,3.05,
23046,3.02,
23066,2.98,
23086,2.94,
23106,2.92,
23126,2.93,
23146,2.94,
23166,2.87,
23186,2.92,
23206,2.74,3.16
23226,2.77,3.06
23246,2.88,3.10
23266,2.92,3.08
23286,2.93,3.07
23306,2.92,3.08
23326,2.92,3.09
23346,2.92,3.10
23366,2.92,3.11
23386,2.92,3.12
23406,2.92,3.13
23426,2.92,3.13
23446,2.92,3.13
23466,2.92,3.14
23486,2.92,3.14
23506,2.92,3.14
23526,2.92,3.14
23546,2.92,3.14
23566,2.93,3.14
23586,2.95,3.14
23606,2.97,3.14
23626,2.97,3.15
23646,2.98,3.15
23666,2.94,3.13
23686,2.88,3.06
23706,3.00,3.09
23726,3.07,3.10
23746,3.09,3.10
23766,3.08,3.04
23786,3.04,3.06
23806,3.02,3.12
23826,3.01,3.14
23846,3.08,3.14
23866,3.15,3.14
23886,3.12,3.13
23906,3.09,3.13
23926,3.08,3.24
23946,3.09,3.20
23966,3.08,3.19
23986,3.08,3.19
24006,3.07,3.19
24026,3.07,3.20
24046,3.07,3.20
24066,3.07,3.20
24086,3.08,3.21
24106,3.09,3.21
24126,2.83,3.21
24146,2.75,3.21
24166,2.73,3.21
24186,3.02,3.22
24206,3.13,3.23
24226,3.17,3.23
24246,3.19,3.23
24266,3.20,3.24
24286,2.91,3.25
24306,2.82,3.25
24326,2.80,3.25
24346,2.80,3.26
24366,2.80,3.26
24386,2.80,3.26
24406,2.81,3.28
24426,2.76,3.30
24446,3.04,3.31
24466,3.18,3.32
24486,3.28,3.31
24506,3.30,3.31
24526,3.31,3.31
24546,3.32,3.31
24565,3.33,3.31
24585,3.33,3.31
24605,3.34,3.31
24625,3.34,3.31
24645,3.35,3.31
24665,3.35,3.32
24685,3.34,3.34
24705,3.33,3.34
24725,3.33,3.34
24745,3.34,3.34
24765,3.33,3.33
24785,3.32,3.33
24805,3.31,3.33
24825,3.30,3.33
24845,3.29,3.33
24865,3.29,3.33
24885,3.29,3.33
24905,3.29,3.33
24925,3.30,3.32
24945,3.29,3.32
24965,3.29,3.33
24985,3.30,3.32
25005,3.30,3.32
25025,3.24,3.14
25045,3.38,3.04
25065,3.28,3.16
25085,3.22,3.23
25105,3.21,3.26
25125,3.26,3.28
25145,3.24,3.28
25165,3.24,3.28
25185,3.24,3.28
25205,3.24,3.28
25225,3.24,3.28
25245,3.24,3.28
25265,3.24,3.28
25285,3.25,3.29
25305,3.25,3.29
25325,3.25,3.29
25345,3.24,3.29
25365,3.24,3.30
25385,3.24,3.30
25405,3.23,3.29
25425,3.22,3.29
25445,3.21,3.29
25465,3.20,3.29
25485,3.18,3.28
25505,3.17,3.27
25525,3.15,3.27
25545,3.13,3.26
25565,3.12,3.25
25585,3.10,3.24
25605,3.09,3.23
25625,3.02,3.22
25645,3.04,3.21
25665,3.04,3.20
25685,3.04,3.19
25705,3.03,3.19
25725,3.07,3.18
25745,3.06,3.18
25765,3.08,3.14
25785,3.09,3.14
25805,3.10,3.12
25825,3.11,3.09
25845,3.12,3.08
25865,3.13,3.10
25885,3.12,3.09
25905,3.11,3.15
25925,3.10,3.18
25945,3.11,3.17
25965,3.11,3.19
25985,3.11,3.22
26005,3.12,3.25
26025,3.11,3.24
26045,3.11,3.29
26065,3.10,3.25
26085,3.09,3.33
26105,3.08,3.31
26125,3.07,3.31
26145,3.07,3.31
26165,3.04,3.29
26185,3.03,3.29
26205,3.03,3.29
26225,3.00,3.29
26245,3.01,3.30
26264,2.99,3.29
26284,2.96,3.25
26304,2.98,3.24
26324,2.99,3.24
26344,2.95,3.41
26364,2.91,
26384,2.87,
26404,2.86,
26424,2.87,
26444,2.82,
26464,2.72,3.18
26484,2.75,3.05
26504,2.86,3.03
26524,2.91,3.06
26544,2.93,3.09
26564,2.94,3.11
26584,2.95,3.12
26604,2.95,3.13
26624,2.95,3.13
26644,2.95,3.12
26664,2.95,3.12
26684,2.95,3.13
26704,2.95,3.13
26724,2.95,3.13
26744,2.95,3.14
26764,2.95,3.14
26784,2.95,3.14
26804,2.95,3.15
26824,2.96,3.15
26844,2.96,3.16
26864,2.96,3.17
26884,2.98,3.17
26904,2.99,3.18
26924,2.99,3.18
26944,2.99,3.19
26964,2.99,3.19
26984,2.99,3.19
27004,2.91,3.01
27024,3.00,2.98
