Recording timestamp,Pupil diameter left,Pupil diameter right
4397,3.80,3.79
4417,3.80,3.79
4437,3.81,3.81
4457,3.81,3.82
4477,3.81,3.82
4497,3.81,3.81
4517,3.81,3.81
4537,3.81,3.79
4557,3.82,3.81
4577,3.82,3.82
4597,3.82,3.82
4617,3.81,3.81
4637,3.79,3.8
4657,3.48,3.48
4677,,
4697,,
4717,,
4737,5.12,5.12
4757,3.82,3.80
4777,3.38,3.36
4797,3.27,3.28
4817,3.29,3.32
4837,3.29,3.30
4857,3.28,3.27
4877,3.26,3.26
4897,3.23,3.21
4917,3.22,3.24
4937,3.21,3.22
4957,3.19,3.19
4977,3.19,3.19
4997,3.18,3.17
5017,3.17,3.17
5037,3.16,3.17
5057,3.16,3.17
5077,3.15,3.14
5097,3.15,3.14
5117,3.11,3.11
5137,3.09,3.13
5157,3.07,3.04
5177,3.05,3.04
5197,3.03,3.01
5217,2.99,3.02
5237,2.97,2.98
5257,2.95,2.93
5277,2.94,2.94
5297,2.93,2.95
5317,2.93,2.93
5337,2.92,2.91
5357,2.91,2.89
5377,2.91,2.92
5397,2.90,2.90
5417,2.89,2.91
5437,2.87,2.90
5457,2.87,2.87
5477,2.86,2.85
5497,2.86,2.84
5517,2.85,2.83
5537,2.84,2.83
5557,2.84,2.85
5577,2.83,2.81
5597,2.83,2.84
5617,2.83,2.81
5637,2.81,2.83
5657,2.81,2.78
5677,2.81,2.80
5697,2.80,2.79
5717,2.80,2.82
5737,2.79,2.75
5757,2.78,2.81
5777,2.78,2.80
5797,2.77,2.79
5817,2.67,2.67
5837,2.72,2.72
5857,2.74,2.75
5877,2.75,2.71
5897,2.75,2.75
5917,2.75,2.76
5937,2.73,2.74
5956,2.73,2.74
5977,2.74,2.75
5996,2.75,2.75
6016,2.76,2.77
6036,2.77,2.77
6056,2.78,2.80
6076,2.79,2.79
6096,2.86,2.84
6116,4.19,4.20
6136,,
6156,,
6176,,
6196,3.27,3.26
6216,3.00,2.99
6236,2.95,2.94
6256,2.97,2.97
6276,2.98,2.98
6296,3.01,3.04
6316,3.03,3.03
6336,3.04,3.03
6356,3.05,3.07
6376,3.06,3.06
6396,3.06,3.05
6416,3.08,3.07
6436,3.09,3.11
6456,3.10,3.13
6476,3.10,3.12
6496,3.11,3.09
6516,3.12,3.09
6536,3.13,3.13
6556,3.14,3.14
6576,3.14,3.14
6596,3.14,3.13
6616,3.12,3.12
6636,3.11,3.11
6656,3.11,3.09
6676,3.10,3.09
6696,3.08,3.09
6716,3.07,3.07
6736,3.06,3.07
6756,3.04,3.05
6776,3.02,3.05
6796,3.00,3.01
6816,2.99,2.97
6836,2.97,2.99
6856,2.95,2.97
6876,2.93,2.95
6896,2.92,2.92
6916,2.91,2.91
6936,2.89,2.89
6956,2.88,2.89
6976,2.88,2.90
6996,2.87,2.88
7016,2.86,2.86
7036,2.85,2.84
7056,2.85,2.87
7076,2.84,2.85
7096,2.83,2.83
7116,2.82,2.84
7136,2.81,2.79
7156,2.80,2.81
7176,2.79,2.80
7196,2.77,2.79
7216,2.76,2.76
7236,2.74,2.74
7256,2.73,2.73
7276,2.72,2.74
7296,2.71,2.70
7316,2.70,2.70
7336,2.69,2.69
7356,2.69,2.67
7376,2.68,2.65
7396,2.68,2.69
7416,2.67,2.67
7436,2.66,2.66
7456,2.66,2.68
7476,2.65,2.66
7496,2.64,2.65
7516,2.64,2.67
7536,2.63,2.64
7556,2.62,2.63
7576,2.62,2.61
7596,2.61,2.6
7616,2.61,2.63
7636,2.60,2.62
7655,2.60,2.57
7676,2.60,2.59
7695,2.59,2.59
7715,2.59,2.57
7735,2.58,2.57
7755,2.57,2.58
7775,2.56,2.57
7795,2.55,2.53
7815,2.54,2.54
7835,2.54,2.51
7855,2.53,2.52
7875,2.52,2.55
7895,2.52,2.53
7915,2.51,2.51
7935,2.51,2.54
7955,2.51,2.49
7975,2.50,2.49
7995,2.50,2.51
8015,2.50,2.49
8035,2.49,2.49
8055,2.49,2.49
8075,2.49,2.50
8095,2.49,2.48
8115,2.48,2.49
8135,2.47,2.49
8155,2.47,2.49
8175,2.46,2.48
8195,2.46,2.47
8215,2.46,2.47
8235,2.46,2.45
8255,2.45,2.48
8275,2.45,2.46
8295,2.46,2.49
8315,2.46,2.44
8335,2.47,2.47
8355,2.48,2.48
8375,2.49,2.51
8395,2.49,2.49
8415,2.50,2.51
8435,2.50,2.51
8455,2.51,2.51
8475,2.51,2.54
8495,2.51,2.52
8515,2.51,2.51
8535,2.51,2.50
8555,2.51,2.51
8575,2.50,2.51
8595,2.50,2.49
8615,2.49,2.49
8635,2.49,2.52
8655,2.50,2.48
8675,2.51,2.52
8695,2.51,2.51
8715,2.52,2.53
8735,2.52,2.53
8755,2.52,2.51
8775,2.51,2.54
8795,2.50,2.49
8815,2.51,2.53
8835,2.51,2.51
8855,2.51,2.51
8875,2.51,2.53
8895,2.52,2.50
8915,2.53,2.56
8935,2.53,2.54
8955,2.53,2.52
8975,2.54,2.50
8995,2.55,2.55
9015,2.55,2.55
9035,2.55,2.54
9055,2.56,2.54
9075,2.56,2.58
9095,2.57,2.56
9115,2.57,2.58
9135,2.58,2.57
9155,2.58,2.59
9175,2.59,2.57
9195,2.59,2.60
9215,2.60,2.61
9235,2.61,2.63
9255,2.62,2.60
9275,2.63,2.62
9295,2.64,2.65
9315,2.65,2.63
9335,2.67,2.69
9354,2.67,2.67
9375,2.68,2.68
9394,2.69,2.70
9414,2.69,2.69
9434,2.69,2.69
9454,2.70,2.71
9474,2.65,2.63
9494,2.66,2.66
9514,2.66,2.66
9534,2.66,2.65
9554,2.66,2.67
9574,2.66,2.67
9594,2.67,2.68
9614,2.67,2.66
9634,2.67,2.66
9654,2.67,2.64
9674,2.67,2.67
9694,2.67,2.65
9714,2.67,2.70
9734,2.67,2.65
9754,2.67,2.66
9774,2.67,2.67
9794,2.69,2.71
9814,2.70,2.69
9834,2.70,2.72
9854,2.70,2.68
9874,2.70,2.72
